t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,workers
110316.3472,1788876617.5368,6,428.04,391.83,819.87,0.0,15725.9,40316.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110316.4577,1788876617.6473,6,428.04,391.83,819.87,0.0,15725.9,40316.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110316.5668,1788876617.7563,6,428.04,391.83,819.87,0.0,15726.4,40315.8,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110316.6749,1788876617.8644,6,428.04,391.83,819.87,0.0,15726.6,40315.6,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110316.7839,1788876617.9735,6,450.87,391.83,842.70,100.7,15752.4,40289.8,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110316.8931,1788876618.0827,6,452.13,391.83,843.96,100.9,15760.3,40282.0,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110317.0022,1788876618.1918,6,452.88,391.83,844.71,98.6,15760.8,40281.4,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110317.1138,1788876618.3033,6,453.01,391.83,844.84,118.6,15761.0,40281.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110317.2234,1788876618.4129,6,453.01,391.83,844.84,100.6,15763.0,40279.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110317.3328,1788876618.5223,6,453.01,391.83,844.84,91.7,15762.0,40280.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110317.4420,1788876618.6315,6,453.01,391.83,844.84,100.2,15762.0,40280.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110317.5516,1788876618.7412,6,455.38,391.83,847.21,109.1,15759.1,40283.1,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110317.6617,1788876618.8512,6,455.65,391.83,847.48,92.0,15758.9,40283.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110317.7703,1788876618.9599,6,455.65,391.83,847.48,101.0,15758.9,40283.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110317.8794,1788876619.0689,6,455.65,391.83,847.48,100.1,15758.4,40283.9,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110317.9892,1788876619.1788,6,455.65,391.83,847.48,100.7,15761.0,40281.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110318.0985,1788876619.2880,6,455.65,391.83,847.48,100.3,15764.4,40277.8,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110318.2081,1788876619.3976,6,455.65,391.83,847.48,110.2,15763.5,40278.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110318.3170,1788876619.5065,6,457.02,391.83,848.86,100.9,15763.6,40278.6,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110318.4260,1788876619.6156,6,459.40,391.83,851.23,108.7,15761.9,40280.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110318.5365,1788876619.7260,6,460.27,391.83,852.11,99.8,15761.9,40280.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110318.6466,1788876619.8362,6,461.15,391.83,852.98,91.9,15761.9,40280.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110318.7554,1788876619.9450,6,461.90,391.83,853.73,100.3,15761.9,40280.4,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110318.8651,1788876620.0547,6,462.65,391.83,854.48,109.2,15757.0,40285.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110318.9750,1788876620.1645,6,463.40,391.83,855.23,99.3,15758.0,40284.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110319.0856,1788876620.2751,6,465.02,391.83,856.86,100.5,15757.5,40284.8,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110319.1952,1788876620.3848,6,465.90,391.83,857.73,100.3,15758.6,40283.6,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110319.3050,1788876620.4946,6,466.65,391.83,858.48,100.2,15761.4,40280.8,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110319.4145,1788876620.6041,6,468.65,391.83,860.48,108.8,15763.5,40278.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110319.5248,1788876620.7144,6,471.06,391.83,862.89,108.0,15763.5,40278.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110319.6359,1788876620.8255,6,472.23,391.83,864.06,101.1,15763.5,40278.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110319.7447,1788876620.9343,6,473.98,391.83,865.81,99.4,15763.5,40278.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110319.8554,1788876621.0450,6,475.73,391.83,867.56,100.9,15762.2,40280.1,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110319.9644,1788876621.1539,6,475.73,391.83,867.56,100.3,15763.4,40278.9,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110320.0740,1788876621.2636,6,475.98,391.83,867.81,100.6,15761.4,40280.9,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110320.1834,1788876621.3729,6,477.10,391.83,868.93,101.1,15761.4,40280.9,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110320.2922,1788876621.4817,6,481.92,391.83,873.75,91.9,15761.4,40280.9,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110320.4011,1788876621.5906,6,482.41,391.83,874.24,100.8,15762.6,40279.6,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110320.5103,1788876621.6998,6,482.41,391.83,874.24,100.4,15763.1,40279.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110320.6198,1788876621.8093,6,482.41,391.83,874.24,101.3,15763.1,40279.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110320.7283,1788876621.9179,6,482.41,391.83,874.24,99.1,15763.1,40279.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
